,imagem,id,cod_sku_rede,fabricante,nome_prod,preço,preço_promocional,data
0,https://atacadaobr.vtexassets.com/arquivos/ids/272305/m.jpg?v=638418539452700000,30538,30538,Italac,Leite Condensado Italac Semidesnatado TP com 395g,4.99,4.99,2024-05-20 09:25:43.185899
1,https://atacadaobr.vtexassets.com/arquivos/ids/281407/g.jpg?v=638465201590400000,31415,31415,Ninho,Leite em Pó Ninho Integral Lata com 380g,21.9,21.9,2024-05-20 09:25:43.185899
2,https://atacadaobr.vtexassets.com/arquivos/ids/272006/m.jpg?v=638416811680300000,30692,30692,Piracanjuba,Leite Condensado Piracanjuba Semidesnatado TP com 395g,4.99,4.99,2024-05-20 09:25:43.185899
3,https://atacadaobr.vtexassets.com/arquivos/ids/272026/m.jpg?v=638416811920370000,32839,32839,Piracanjuba,Leite Longa Vida Piracanjuba Com tampa Integral TP com 1L,5.69,5.69,2024-05-20 09:25:43.185899
4,https://atacadaobr.vtexassets.com/arquivos/ids/278249/m.jpg?v=638459147316370000,30600,30600,Nestlé,Leite Condensado Moça Integral Lata com 395g,9.75,9.75,2024-05-20 09:25:43.185899
5,https://atacadaobr.vtexassets.com/arquivos/ids/268123/g.jpg?v=638379660041570000,27280,27280,Italac,Creme de Leite Italac TP com 200g,3.32,3.32,2024-05-20 09:25:43.185899
6,https://atacadaobr.vtexassets.com/arquivos/ids/230776/g.jpg?v=638353734437070000,30596,30596,Marajoara,Leite Condensado Marajoara Semidesnatado TP com 395g,5.49,5.49,2024-05-20 09:25:43.185899
7,https://atacadaobr.vtexassets.com/arquivos/ids/239783/g.jpg?v=638353833768500000,12476,12476,Heineken,Cerveja Heineken Long Neck com 330ml,6.45,6.45,2024-05-20 09:25:43.185899
8,https://atacadaobr.vtexassets.com/arquivos/ids/230682/g.jpg?v=638353733341500000,2371,2371,União,Açúcar União Refinado Pacote com 1kg,5.49,5.49,2024-05-20 09:25:43.185899
9,https://atacadaobr.vtexassets.com/arquivos/ids/281244/g.jpg?v=638465199991470000,35385,35385,Garoto,Bombom Garoto Sortido Caixeta com 250g,11.59,11.59,2024-05-20 09:25:43.185899
10,https://atacadaobr.vtexassets.com/arquivos/ids/277276/p.jpg?v=638447916154000000,11276,11276,Amstel,Cerveja Amstel Sleek Lata com 350ml,3.19,3.19,2024-05-20 09:25:43.185899
11,https://atacadaobr.vtexassets.com/arquivos/ids/250078/g.jpg?v=638353946240430000,38477,38477,Liza,Óleo de Soja Liza Pet com 900ml,5.49,5.49,2024-05-20 09:25:43.185899
12,https://atacadaobr.vtexassets.com/arquivos/ids/245228/g.jpg?v=638353893014230000,15285,15285,Pampers,Fralda Descartável Pampers Supersec Jumbo G Pacote com 80 unidades,84.5,84.5,2024-05-20 09:25:43.185899
13,https://atacadaobr.vtexassets.com/arquivos/ids/284804/m.jpg?v=638467789673200000,25779,25779,Report,Papel Sulfite Report A4 75g Pacote com 500 folhas,20.99,20.99,2024-05-20 09:25:43.185899
14,https://atacadaobr.vtexassets.com/arquivos/ids/263896/g.jpg?v=638354097480170000,12486,12486,Heineken,Cerveja Heineken Sleek Lata com 350ml,4.79,4.79,2024-05-20 09:25:43.185899
15,https://atacadaobr.vtexassets.com/arquivos/ids/266451/p.jpg?v=638363244863230000,39395,39395,Ypê,Sabão em Pedaço Ypê Neutro Promocional Pacote com 5x180g,9.45,9.45,2024-05-20 09:25:43.185899
16,https://atacadaobr.vtexassets.com/arquivos/ids/256710/g.jpg?v=638354019023970000,12460,12460,Heineken,Cerveja Heineken Lata com 269ml,3.8,3.8,2024-05-20 09:25:43.185899
17,https://atacadaobr.vtexassets.com/arquivos/ids/238822/g.jpg?v=638353823229700000,29157,29157,Ferrero,Creme Ferrero Nutella Avelã com Cacau Pote com 650g,39.35,39.35,2024-05-20 09:25:43.185899
18,https://atacadaobr.vtexassets.com/arquivos/ids/268713/g.jpg?v=638379666336300000,13410,13410,Lebre,Sal Lebre Refinado Pacote com 1kg,2.15,2.15,2024-05-20 09:25:43.185899
19,https://atacadaobr.vtexassets.com/arquivos/ids/281093/p.jpg?v=638465198495800000,17423,17423,Nestlé,"Chocolate Kit Kat Nestlé Ao Leite Unidade com 41,5g",2.95,2.95,2024-05-20 09:25:43.185899
