,imagem,id,cod_sku_rede,fabricante,nome_prod,preço,preço_promocional,data
0,https://atacadaobr.vtexassets.com/arquivos/ids/272305/m.jpg?v=638418539452700000,30538,30538,Italac,Leite Condensado Italac Semidesnatado TP com 395g,4.79,4.79,2024-05-27 16:27:54.130879
1,https://atacadaobr.vtexassets.com/arquivos/ids/281407/g.jpg?v=638465201590400000,31415,31415,Ninho,Leite em Pó Ninho Integral Lata com 380g,15.99,15.99,2024-05-27 16:27:54.130879
2,https://atacadaobr.vtexassets.com/arquivos/ids/233162/g.jpg?v=638353761184700000,32346,32346,Italac,Leite Longa Vida Italac Com tampa Integral TP com 1L,5.39,5.39,2024-05-27 16:27:54.130879
3,https://atacadaobr.vtexassets.com/arquivos/ids/272006/m.jpg?v=638416811680300000,30692,30692,Piracanjuba,Leite Condensado Piracanjuba Semidesnatado TP com 395g,4.99,4.99,2024-05-27 16:27:54.130879
4,https://atacadaobr.vtexassets.com/arquivos/ids/229475/g.jpg?v=638353720309100000,13743,13743,Camil,Arroz Camil Agulhinha - Tipo 1 Pacote com 5kg,32.65,32.65,2024-05-27 16:27:54.130879
5,https://atacadaobr.vtexassets.com/arquivos/ids/272026/m.jpg?v=638416811920370000,32839,32839,Piracanjuba,Leite Longa Vida Piracanjuba Com tampa Integral TP com 1L,5.69,5.69,2024-05-27 16:27:54.130879
6,https://atacadaobr.vtexassets.com/arquivos/ids/268123/g.jpg?v=638379660041570000,27280,27280,Italac,Creme de Leite Italac TP com 200g,2.99,2.99,2024-05-27 16:27:54.130879
7,https://atacadaobr.vtexassets.com/arquivos/ids/230776/g.jpg?v=638353734437070000,30596,30596,Marajoara,Leite Condensado Marajoara Semidesnatado TP com 395g,4.99,4.99,2024-05-27 16:27:54.130879
8,https://atacadaobr.vtexassets.com/arquivos/ids/239783/g.jpg?v=638353833768500000,12476,12476,Heineken,Cerveja Heineken Long Neck com 330ml,6.2,6.2,2024-05-27 16:27:54.130879
9,https://atacadaobr.vtexassets.com/arquivos/ids/230682/g.jpg?v=638353733341500000,2371,2371,União,Açúcar União Refinado Pacote com 1kg,5.49,5.49,2024-05-27 16:27:54.130879
10,https://atacadaobr.vtexassets.com/arquivos/ids/277276/p.jpg?v=638447916154000000,11276,11276,Amstel,Cerveja Amstel Sleek Lata com 350ml,3.19,3.19,2024-05-27 16:27:54.130879
11,https://atacadaobr.vtexassets.com/arquivos/ids/281244/g.jpg?v=638465199991470000,35385,35385,Garoto,Bombom Garoto Sortido Caixeta com 250g,11.9,11.9,2024-05-27 16:27:54.130879
12,https://atacadaobr.vtexassets.com/arquivos/ids/245228/g.jpg?v=638353893014230000,15285,15285,Pampers,Fralda Descartável Pampers Supersec Jumbo G Pacote com 80 unidades,84.5,84.5,2024-05-27 16:27:54.130879
13,https://atacadaobr.vtexassets.com/arquivos/ids/263896/g.jpg?v=638354097480170000,12486,12486,Heineken,Cerveja Heineken Sleek Lata com 350ml,4.79,4.79,2024-05-27 16:27:54.130879
14,https://atacadaobr.vtexassets.com/arquivos/ids/284804/m.jpg?v=638467789673200000,25779,25779,Report,Papel Sulfite Report A4 75g Pacote com 500 folhas,20.99,20.99,2024-05-27 16:27:54.130879
15,https://atacadaobr.vtexassets.com/arquivos/ids/266451/p.jpg?v=638363244863230000,39395,39395,Ypê,Sabão em Pedaço Ypê Neutro Promocional Pacote com 5x180g,9.45,9.45,2024-05-27 16:27:54.130879
16,https://atacadaobr.vtexassets.com/arquivos/ids/229445/g.jpg?v=638353719983070000,13748,13748,Camil,Arroz Camil Agulhinha Tipo 1 Pacote com 1kg,6.53,6.53,2024-05-27 16:27:54.130879
17,https://atacadaobr.vtexassets.com/arquivos/ids/273005/m.jpg?v=638424587449770000,2455,2455,Red Bull,Energético Red Bull Lata com 250ml,9.49,9.49,2024-05-27 16:27:54.130879
18,https://atacadaobr.vtexassets.com/arquivos/ids/256710/g.jpg?v=638354019023970000,12460,12460,Heineken,Cerveja Heineken Lata com 269ml,3.8,3.8,2024-05-27 16:27:54.130879
19,https://atacadaobr.vtexassets.com/arquivos/ids/268713/g.jpg?v=638379666336300000,13410,13410,Lebre,Sal Lebre Refinado Pacote com 1kg,2.15,2.15,2024-05-27 16:27:54.130879
20,https://atacadaobr.vtexassets.com/arquivos/ids/281093/p.jpg?v=638465198495800000,17423,17423,Nestlé,"Chocolate Kit Kat Nestlé Ao Leite Unidade com 41,5g",2.95,2.95,2024-05-27 16:27:54.130879
21,https://atacadaobr.vtexassets.com/arquivos/ids/279016/g.jpg?v=638460880218430000,35370,35370,Omo,Detergente em Pó Omo Lavagem perfeita Caixeta com 800g,14.9,14.9,2024-05-27 16:27:54.130879
22,https://atacadaobr.vtexassets.com/arquivos/ids/239784/g.jpg?v=638353833779600000,11244,11244,Amstel,Cerveja Amstel Lata com 269ml,2.75,2.75,2024-05-27 16:27:54.130879
23,https://atacadaobr.vtexassets.com/arquivos/ids/238822/g.jpg?v=638353823229700000,29157,29157,Ferrero,Creme Ferrero Nutella Avelã com Cacau Pote com 650g,39.35,39.35,2024-05-27 16:27:54.130879
24,https://atacadaobr.vtexassets.com/arquivos/ids/233349/g.jpg?v=638353763157600000,26366,26366,Maratá,Suco Néctar Maratá Uva TP com 200ml,1.45,1.45,2024-05-27 16:27:54.130879
